tick,agent_a,agent_b
824,drone_1,drone_4
824,drone_2,drone_3
824,drone_3,drone_4
825,drone_1,drone_4
825,drone_2,drone_3
825,drone_3,drone_4
826,drone_1,drone_4
826,drone_2,drone_3
826,drone_3,drone_4
827,drone_1,drone_4
827,drone_2,drone_3
827,drone_3,drone_4
828,drone_1,drone_4
828,drone_2,drone_3
828,drone_3,drone_4
829,drone_1,drone_4
829,drone_2,drone_3
829,drone_3,drone_4
830,drone_1,drone_4
830,drone_2,drone_3
830,drone_3,drone_4
831,drone_1,drone_4
831,drone_2,drone_3
831,drone_3,drone_4
832,drone_1,drone_4
832,drone_2,drone_3
832,drone_3,drone_4
833,drone_1,drone_4
833,drone_2,drone_3
833,drone_3,drone_4
834,drone_1,drone_4
834,drone_2,drone_3
834,drone_3,drone_4
835,drone_1,drone_4
835,drone_2,drone_3
835,drone_3,drone_4
836,drone_1,drone_4
836,drone_2,drone_3
836,drone_3,drone_4
837,drone_1,drone_4
837,drone_2,drone_3
838,drone_1,drone_4
838,drone_2,drone_3
838,drone_3,drone_4
839,drone_1,drone_4
839,drone_2,drone_3
840,drone_1,drone_4
840,drone_2,drone_3
840,drone_3,drone_4
841,drone_1,drone_4
841,drone_2,drone_3
842,drone_1,drone_4
842,drone_2,drone_3
843,drone_1,drone_4
843,drone_2,drone_3
844,drone_1,drone_4
844,drone_2,drone_3
845,drone_1,drone_4
845,drone_2,drone_3
846,drone_1,drone_4
846,drone_2,drone_3
847,drone_1,drone_4
847,drone_2,drone_3
848,drone_1,drone_4
848,drone_2,drone_3
849,drone_1,drone_4
849,drone_2,drone_3
850,drone_1,drone_4
850,drone_2,drone_3
851,drone_1,drone_4
851,drone_2,drone_3
852,drone_1,drone_4
852,drone_2,drone_3
853,drone_1,drone_4
853,drone_2,drone_3
854,drone_1,drone_4
854,drone_2,drone_3
855,drone_0,drone_2
855,drone_1,drone_4
855,drone_2,drone_3
856,drone_0,drone_2
856,drone_1,drone_4
856,drone_2,drone_3
857,drone_0,drone_2
857,drone_1,drone_4
857,drone_2,drone_3
858,drone_1,drone_4
858,drone_2,drone_3
859,drone_1,drone_4
859,drone_2,drone_3
860,drone_1,drone_4
860,drone_2,drone_3
861,drone_1,drone_4
861,drone_2,drone_3
862,drone_1,drone_4
862,drone_2,drone_3
863,drone_1,drone_4
863,drone_2,drone_3
864,drone_1,drone_4
864,drone_2,drone_3
865,drone_1,drone_4
865,drone_2,drone_3
866,drone_0,drone_4
866,drone_1,drone_4
866,drone_2,drone_3
867,drone_0,drone_4
867,drone_2,drone_3
868,drone_0,drone_4
868,drone_2,drone_3
869,drone_0,drone_4
869,drone_2,drone_3
870,drone_0,drone_4
870,drone_2,drone_3
871,drone_0,drone_4
871,drone_2,drone_3
872,drone_0,drone_4
872,drone_2,drone_3
873,drone_0,drone_4
873,drone_2,drone_3
874,drone_0,drone_4
874,drone_2,drone_3
875,drone_0,drone_4
875,drone_2,drone_3
876,drone_0,drone_4
876,drone_2,drone_3
877,drone_0,drone_4
877,drone_2,drone_3
878,drone_0,drone_4
878,drone_2,drone_3
879,drone_0,drone_4
879,drone_2,drone_3
880,drone_0,drone_4
880,drone_2,drone_3
881,drone_0,drone_4
881,drone_2,drone_3
882,drone_0,drone_4
882,drone_2,drone_3
883,drone_0,drone_4
883,drone_2,drone_3
884,drone_0,drone_4
884,drone_2,drone_3
885,drone_0,drone_4
885,drone_2,drone_3
886,drone_0,drone_4
886,drone_2,drone_3
887,drone_0,drone_4
887,drone_2,drone_3
888,drone_0,drone_4
888,drone_2,drone_3
889,drone_0,drone_4
889,drone_2,drone_3
890,drone_0,drone_4
890,drone_2,drone_3
891,drone_0,drone_4
891,drone_2,drone_3
892,drone_0,drone_4
892,drone_2,drone_3
893,drone_0,drone_4
893,drone_2,drone_3
894,drone_0,drone_4
894,drone_2,drone_3
895,drone_0,drone_4
895,drone_2,drone_3
896,drone_0,drone_4
896,drone_2,drone_3
897,drone_0,drone_4
897,drone_2,drone_3
898,drone_0,drone_4
898,drone_2,drone_3
899,drone_0,drone_4
899,drone_2,drone_3
900,drone_0,drone_4
900,drone_2,drone_3
901,drone_0,drone_4
901,drone_2,drone_3
902,drone_0,drone_4
902,drone_2,drone_3
903,drone_0,drone_4
903,drone_2,drone_3
904,drone_0,drone_4
904,drone_2,drone_3
905,drone_0,drone_4
905,drone_2,drone_3
906,drone_0,drone_4
906,drone_2,drone_3
907,drone_0,drone_4
907,drone_2,drone_3
908,drone_0,drone_4
908,drone_2,drone_3
909,drone_0,drone_4
