Scenario,Group,Environment,Climate,Grid,Radius_km,Budget_m,Algorithm,Seed,n_agents,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
43,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,6.0,11.34,0.0153,0.0757,0.0818,0.9182,0.079013,1081.68,33.4
43,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,5.5,11.32,0.0153,0.0767,0.0821,0.9179,0.080089,1081.69,34.1
44,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,40.5,19.84,0.0292,0.4212,0.3693,0.6307,0.419244,1081.5,21.8
44,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,41.5,20.66,0.03,0.4252,0.3344,0.6656,0.428543,1070.32,22.9
44,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,50.0,18.87,0.0272,0.428,0.3365,0.6635,0.431596,1075.57,24.4
45,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,19.5,17.0,0.0238,0.2057,0.4653,0.5347,0.209732,1037.66,27.5
45,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,16.5,15.87,0.022,0.1885,0.4672,0.5328,0.193546,1040.7,28.0
45,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,14.0,16.32,0.0228,0.1966,0.4544,0.5456,0.201422,1089.82,30.3
46,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,42,5,23.0,36.63,0.025,0.2807,0.4193,0.5807,0.28254,2091.59,101.6
46,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,123,5,20.0,40.12,0.0275,0.2858,0.355,0.645,0.286149,2225.41,117.6
46,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,456,5,24.0,35.11,0.024,0.2863,0.4465,0.5535,0.287156,2123.24,76.7
47,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,42,5,11.5,26.19,0.0168,0.1719,0.5143,0.4857,0.174792,1881.4,83.6
47,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,123,5,7.5,27.79,0.018,0.1802,0.4811,0.5189,0.183114,1881.39,83.2
47,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,456,5,11.0,29.04,0.019,0.1931,0.4718,0.5282,0.194724,1884.44,78.6
48,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,42,5,33.0,48.56,0.0326,0.2909,0.1456,0.8544,0.290857,2158.49,83.3
48,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,123,5,32.0,49.84,0.0327,0.2972,0.1642,0.8358,0.299285,2208.05,80.7
48,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,456,5,28.0,42.62,0.0281,0.2861,0.2526,0.7474,0.290365,2097.24,71.0
49,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,42,5,34.0,33.42,0.0199,0.3712,0.3113,0.6887,0.379428,2367.73,75.1
49,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,123,5,38.0,32.78,0.0191,0.367,0.3211,0.6789,0.375024,2371.62,79.5
49,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,456,5,35.0,32.0,0.018,0.3567,0.3259,0.6741,0.367474,2369.4,76.0
50,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,42,5,24.5,45.21,0.0303,0.2599,0.2463,0.7537,0.260469,2334.68,88.2
50,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,123,5,19.5,37.32,0.0246,0.227,0.3524,0.6476,0.228145,2332.89,86.2
50,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,456,5,20.5,49.67,0.0333,0.2446,0.2003,0.7997,0.245993,2334.7,88.0
51,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_3D2P,42,5,12.5,32.86,0.021,0.2089,0.5172,0.4828,0.213724,1936.0,70.8
