tick,agent_id,row,col,active,budget
120,dog_0,911,468,1,440547.0
120,dog_1,625,289,1,443953.9
120,dog_2,403,461,1,443477.6
120,dog_3,295,720,1,443467.5
121,drone_0,595,973,1,442088.0
121,drone_1,990,806,1,441901.5
121,dog_0,910,468,1,440502.0
121,dog_1,626,290,1,443932.7
121,dog_2,404,460,1,443435.1
121,dog_3,294,719,1,443416.6
122,drone_0,594,974,1,442045.5
122,drone_1,989,805,1,441859.0
122,dog_0,909,467,1,440438.3
122,dog_1,627,290,1,443917.7
122,dog_2,405,459,1,443392.7
122,dog_3,294,718,1,443401.6
123,drone_0,593,975,1,442003.1
123,drone_1,990,804,1,441816.6
123,dog_0,909,466,1,440393.3
123,dog_1,628,291,1,443875.2
123,dog_2,406,458,1,443350.2
123,dog_3,294,717,1,443386.6
124,drone_0,593,976,1,441973.1
124,drone_1,991,803,1,441774.1
124,dog_0,909,465,1,440348.2
124,dog_1,629,291,1,443860.2
124,dog_2,407,457,1,443307.8
124,dog_3,293,716,1,443352.6
125,drone_0,592,977,1,441930.6
125,drone_1,992,802,1,441731.7
125,dog_0,909,464,1,440303.2
125,dog_1,630,291,1,443830.2
125,dog_2,408,456,1,443265.3
125,dog_3,293,715,1,443337.6
126,drone_0,591,978,1,441888.2
126,drone_1,991,801,1,441689.2
126,dog_0,909,463,1,440258.2
126,dog_1,631,290,1,443809.0
126,dog_2,409,455,1,443222.9
126,dog_3,292,714,1,443303.6
127,drone_0,590,979,1,441845.7
127,drone_1,992,800,1,441646.8
127,dog_0,908,462,1,440194.5
127,dog_1,632,291,1,443787.7
127,dog_2,410,454,1,443180.4
127,dog_3,292,713,1,443288.6
128,drone_0,590,980,1,441815.7
128,drone_1,993,799,1,441604.3
128,dog_0,907,461,1,440130.8
128,dog_1,632,292,1,443772.7
128,dog_2,411,453,1,443138.0
128,dog_3,292,712,1,443252.6
129,drone_0,589,981,1,441773.2
129,drone_1,994,798,1,441561.9
