Scenario,Group,Environment,Climate,Radius_km,Budget_m,Algorithm,n_agents,Kill_fraction,N_agents_killed,Steps_completed,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.4,2,15000,456,21.5,39.66,0.0,0.0,0.0,0.0,0.268485,1312.77,17.8
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.4,2,15000,456,30.0,86.25,0.0,0.0,0.0,0.0,0.330806,1312.77,2.5
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.6,3,8001,456,16.0,18.02,0.0119,0.1349,0.1273,0.8727,0.14148899912834167,836.92,318.6
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.6,3,15000,456,19.5,30.58,0.0,0.0,0.0,0.0,0.253099,964.48,18.1
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.6,3,15000,456,25.5,63.32,0.0,0.0,0.0,0.0,0.2859,964.48,2.5
31,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,0.0,0,7592,42,55.0,30.48,0.0404,0.5664,0.3329,0.6671,0.5774639844894409,1144.24,143.9
31,flat_dry,flat,dry,13.1,205932.0,Greedy,5,0.0,0,15000,42,32.5,20.15,0.0,0.0,0.0,0.0,0.370951,1029.66,9.2
31,flat_dry,flat,dry,13.1,205932.0,Pizza,5,0.0,0,15000,42,49.0,67.41,0.0,0.0,0.0,0.0,0.521519,1029.66,1.1
31,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,0.2,1,7790,42,54.5,28.69,0.0366,0.5497,0.2764,0.7236,0.5619710087776184,1017.34,145.4
31,flat_dry,flat,dry,13.1,205932.0,Greedy,5,0.2,1,15000,42,37.0,18.64,0.0,0.0,0.0,0.0,0.379717,851.19,9.1
31,flat_dry,flat,dry,13.1,205932.0,Pizza,5,0.2,1,15000,42,44.0,55.77,0.0,0.0,0.0,0.0,0.459668,851.19,1.2
31,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,0.4,2,7519,42,45.0,22.2,0.028,0.4814,0.2703,0.7297,0.4960930049419403,877.34,146.9
31,flat_dry,flat,dry,13.1,205932.0,Greedy,5,0.4,2,15000,42,29.5,15.22,0.0,0.0,0.0,0.0,0.293073,672.71,9.3
31,flat_dry,flat,dry,13.1,205932.0,Pizza,5,0.4,2,15000,42,38.5,44.05,0.0,0.0,0.0,0.0,0.404841,672.71,1.1
31,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,0.6,3,7631,42,45.5,21.71,0.0247,0.4846,0.2176,0.7824,0.5017759799957275,758.98,145.3
31,flat_dry,flat,dry,13.1,205932.0,Greedy,5,0.6,3,15000,42,36.0,14.25,0.0,0.0,0.0,0.0,0.354362,494.24,9.4
