Scenario,Group,Environment,Climate,Grid,Radius_km,Budget_m,Algorithm,Seed,n_agents,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
47,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,123,5,10.5,33.63,0.0229,0.2212,0.6137,0.3863,0.219904,2234.81,168.4
47,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,456,5,12.5,33.41,0.0228,0.2208,0.6179,0.3821,0.219639,2234.89,117.3
48,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,42,5,35.0,59.23,0.0418,0.3727,0.2828,0.7172,0.368791,2234.78,73.9
48,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,123,5,38.5,56.4,0.04,0.35,0.3307,0.6693,0.345842,2234.88,73.4
48,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,456,5,29.0,54.65,0.0387,0.3087,0.3704,0.6296,0.30585,2234.8,77.7
49,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,42,5,33.0,28.3,0.0213,0.3684,0.2896,0.7104,0.366034,2234.88,78.9
49,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,123,5,37.5,28.21,0.0212,0.3683,0.29,0.71,0.366261,2234.84,73.8
49,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,456,5,36.0,28.24,0.021,0.3699,0.2708,0.7292,0.367151,2234.84,74.4
50,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,42,5,30.5,51.5,0.0365,0.3305,0.3831,0.6169,0.326884,2234.86,84.8
50,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,123,5,33.0,46.17,0.0326,0.3218,0.4246,0.5754,0.318892,2234.88,85.5
50,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,456,5,32.5,57.63,0.0408,0.3531,0.3224,0.6776,0.349125,2234.88,83.8
51,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,42,5,12.5,34.87,0.0239,0.2238,0.6195,0.3805,0.222356,2234.85,92.2
51,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,123,5,9.0,34.71,0.0238,0.2176,0.6169,0.3831,0.216534,2234.82,93.1
51,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,456,5,11.0,33.91,0.0233,0.2155,0.6205,0.3795,0.214326,2234.82,93.0
