Config,Comm_range,Evaporation_rate,Ever_explored_penalty,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Likelihood,Path_km,Elapsed_s,Scenario,Group,Environment,Climate,Grid,Radius_km
E6_comm_5000,5000.0,0.01,0.0,42,40.5,71.05,0.0498,0.4136,0.2727,0.7273,0.092,3275.6322,16378.1612,0.408402,2234.84,677.7,50,mountain_dry,mountainous,dry,1286x1286,19.3
E7_evap_0005,500.0,0.005,0.0,42,35.5,61.3,0.043,0.3635,0.3018,0.6982,0.1015,3398.2566,16991.2829,0.359369,2234.85,417.6,50,mountain_dry,mountainous,dry,1286x1286,19.3
E7_evap_0002,500.0,0.002,0.0,42,36.0,57.2,0.04,0.3712,0.3536,0.6464,0.0374,3878.5094,19392.547,0.36752,2234.83,430.8,50,mountain_dry,mountainous,dry,1286x1286,19.3
E8_eep_05,500.0,0.01,0.5,42,27.0,49.84,0.0339,0.3257,0.4234,0.5766,0.0375,4031.5268,20157.634,0.322304,2234.77,453.5,50,mountain_dry,mountainous,dry,1286x1286,19.3
E8_eep_15,500.0,0.01,1.5,42,30.0,59.86,0.0405,0.3373,0.3656,0.6344,0.0457,3750.8243,18754.1215,0.333441,2234.82,434.0,50,mountain_dry,mountainous,dry,1286x1286,19.3
baseline,500.0,0.01,0.0,123,38.0,56.86,0.04,0.37,0.3028,0.6972,0.0669,3499.4968,17497.484,0.366501,2234.86,441.1,50,mountain_dry,mountainous,dry,1286x1286,19.3
E6_comm_2000,2000.0,0.01,0.0,123,38.5,60.72,0.0426,0.3814,0.3416,0.6584,0.0826,3508.8911,17544.4554,0.377301,2234.85,478.1,50,mountain_dry,mountainous,dry,1286x1286,19.3
E6_comm_5000,5000.0,0.01,0.0,123,42.0,69.07,0.0485,0.4138,0.2845,0.7155,0.0619,3328.6964,16643.4818,0.409239,2234.85,707.8,50,mountain_dry,mountainous,dry,1286x1286,19.3
E7_evap_0005,500.0,0.005,0.0,123,31.5,57.12,0.0401,0.3168,0.3889,0.6111,0.0941,3158.6342,15793.1708,0.312932,2234.85,409.6,50,mountain_dry,mountainous,dry,1286x1286,19.3
E7_evap_0002,500.0,0.002,0.0,123,35.0,56.16,0.0392,0.3566,0.3536,0.6464,0.0752,3657.0984,18285.4921,0.352732,2234.8,426.5,50,mountain_dry,mountainous,dry,1286x1286,19.3
E8_eep_05,500.0,0.01,0.5,123,28.0,48.0,0.0328,0.3008,0.4691,0.5309,0.0228,3983.5024,19917.5119,0.298343,2234.82,436.7,50,mountain_dry,mountainous,dry,1286x1286,19.3
E8_eep_15,500.0,0.01,1.5,123,32.5,54.98,0.0372,0.3069,0.4221,0.5779,0.055,3919.7415,19598.7075,0.303891,2234.82,433.3,50,mountain_dry,mountainous,dry,1286x1286,19.3
